-1998, 1997, 1942
-,-,-
1997, -328, -1397
1997, -607, -1990
1997, -238, -1997
1997, 1679, -1997
1709, 1997, -1874
-1711, 1997, -754
-1998, 1997, 1141
-1998, 1997, 1336
-1998, 1821, 1054
-1998, 751, 1148
-,-,-
1997, -354, -1273
1997, -986, -1919
1997, -942, -1997
1997, 952, -1997
1744, 1997, -1731
-1669, 1997, 68
-1998, 1997, 1903
-1998, 1997, 1998
-1998, 1927, 1970
-1998, 983, 1952
-1998, 484, 1356
-,-,-
1997, -505, -1300
1997, -1288, -1937
1997, -1039, -1997
1997, 1067, -1997
1727, 1997, -1902
-1555, 1997, -244
-1998, 1997, 1228
-1998, 1997, 1215
-1998, 1997, 1554
-1998, 1695, 1868
-,-,-
1979, 299, -1081
1997, -795, -1863
1997, -1426, -1997
1997, 649, -1997
1997, 1997, -1995
-233, 1997, -1349
-1998, 1997, 1621
-1998, 1997, 1998
-1998, 1997, 1908
-,-,-
1997, -360, -1820
1997, -1258, -1997
1997, -1148, -1997
1997, 1338, -1997
1842, 1997, -1813
-1448, 1997, 679
-1998, 1997, 1998
-1998, 1997, 1840
-,-,-
1997, -362, -1698
1997, -926, -1997
1997, -989, -1997
1997, 1174, -1997
1997, 1997, -1958
-263, 1997, -86
-1998, 1997, 1429
-1998, 1997, 1545
-1998, 1997, 1872
-,-,-
1124, -105, -873
1978, -773, -1831
1997, -1787, -1997
1997, -1529, -1997
1997, 763, -1997
1997, 1997, -1550
589, 1997, 30
589, 1997, 30
-1849, 1997, 1143
-1998, 1997, 1728
-1998, 1997, 1897
-,-,-
143, -16, -476
1474, -71, -1432
1997, -816, -1997
1997, -1337, -1997
1997, -517, -1997
1997, 1762, -1936
720, 1997, -635
-1955, 1997, 1627
-,-,-
538, -415, -774
1851, -935, -1836
1997, -1692, -1997
1997, -1286, -1997
1997, 1351, -1997
1718, 1997, -1254
-1535, 1997, 1209
-1998, 1997, 1998
-1998, 1997, 1998
-,-,-
7, -29, -167
1073, 157, -621
1997, -475, -1720
1997, -1497, -1997
1997, -1120, -1997
1997, 1616, -1997
425, 1997, -1110
-1998, 1997, 1558
-1998, 1997, 1998
-,-,-
1702, -208, -1444
1997, -1021, -1997
1997, -1745, -1997
1997, 447, -1997
1973, 1997, -1732
-1176, 1997, 342
-1998, 1997, 1885
-1998, 1997, 1998
-,-,-
1029, -336, -951
1997, -663, -1823
1997, -1401, -1997
1997, -559, -1997
1997, 1660, -1997
1856, 1997, -1452
-1491, 1997, 560
-1998, 1997, 1986
-1998, 1997, 1998
-,-,-
1994, -313, -1898
1997, -1159, -1994
1997, -820, -1997
1997, 1574, -1996
539, 1997, -970
-1998, 1997, 1172
-1998, 1997, 1378
-1998, 1997, 1587
-1998, 1634, 1757
-,-,-
1856, -119, -1260
1997, -1025, -1946
1997, -1383, -1997
1997, 1289, -1997
1990, 1997, -1991
-1092, 1997, -1180
-1998, 1997, 686
-1998, 1997, 1925
-,-,-
1727, -353, -1354
1997, -635, -1908
1997, -863, -1997
1997, 71, -1997
1997, 1910, -1964
-95, 1997, -1183
-1998, 1997, -75
-1998, 1997, 622
-1998, 1997, 969
-,-,-
-382, -334, -273
768, 46, -1032
1992, 93, -1818
1997, -274, -1934
1997, 24, -1857
1997, 1681, -991
886, 1997, 63
886, 1997, 63
-1988, 1997, 622
-1998, 1997, 1348
-,-,-
1695, -100, -615
1997, -663, -1007
1997, -876, -1974
1997, 8, -1903
1791, 1969, -606
-1545, 1997, 827
-1998, 1997, 1793
-1998, 1997, 1681
-1998, 1842, 1571
-1998, 940, 1394
-,-,-
1899, 777, -439
1997, -176, -1519
1997, -869, -1997
1997, -70, -1982
1561, 1919, -1467
-1893, 1997, -247
-1998, 1997, 1277
-1998, 1997, 1763
-,-,-
469, 188, -722
1846, 692, -1351
1997, -121, -1911
